employee_id,survey_date,engagement_score,wellbeing_score,manager_score
E000011,2025-09-30,6,3,3
E000021,2025-09-30,4,6,8
E000051,2025-09-30,1,8,5
E000001,2025-09-30,1,9,3
E000042,2025-09-30,1,1,10
E000002,2025-09-30,8,3,1
E000027,2025-09-30,10,3,3
E000033,2025-09-30,8,8,9
E000072,2025-09-30,2,1,5
E000054,2025-09-30,7,5,10
E000007,2025-09-30,8,3,2
E000046,2025-09-30,8,2,7
E000041,2025-09-30,10,8,2
E000066,2025-09-30,7,3,4
E000100,2025-09-30,5,7,7
E000079,2025-09-30,1,1,4
E000074,2025-09-30,9,6,7
E000005,2025-09-30,7,3,7
E000064,2025-09-30,2,8,1
E000012,2025-09-30,6,6,6
E000035,2025-09-30,2,2,9
E000010,2025-09-30,1,6,2
E000034,2025-09-30,7,7,3
E000067,2025-09-30,2,5,10
E000090,2025-09-30,2,3,5
E000043,2025-09-30,5,4,9
E000047,2025-09-30,5,4,4
E000023,2025-09-30,7,6,1
E000070,2025-09-30,1,10,4
E000052,2025-09-30,8,1,6
E000029,2025-09-30,3,4,5
E000095,2025-09-30,4,10,1
E000093,2025-09-30,9,4,4
E000036,2025-09-30,4,10,6
E000089,2025-09-30,10,1,10
E000003,2025-09-30,5,9,10
E000030,2025-09-30,7,4,4
E000028,2025-09-30,4,7,9
E000058,2025-09-30,1,3,5
E000069,2025-09-30,9,10,8
E000061,2025-09-30,4,3,9
E000050,2025-09-30,9,8,10
E000068,2025-09-30,6,8,5
E000008,2025-09-30,1,1,6
E000071,2025-09-30,3,10,1
E000096,2025-09-30,2,2,7
E000031,2025-09-30,9,8,4
E000014,2025-09-30,1,1,2
E000026,2025-09-30,9,8,5
E000092,2025-09-30,9,8,3
E000019,2025-09-30,8,2,6
E000006,2025-09-30,8,4,8
E000037,2025-09-30,1,6,7
E000049,2025-09-30,8,9,3
E000081,2025-09-30,10,8,8
E000045,2025-09-30,3,8,2
E000083,2025-09-30,7,7,10
E000073,2025-09-30,1,9,9
E000075,2025-09-30,1,2,4
E000025,2025-09-30,10,3,1
E000059,2025-09-30,5,10,8
E000004,2025-09-30,5,8,7
E000077,2025-09-30,8,6,5
E000091,2025-09-30,7,10,10
E000016,2025-09-30,8,9,5
E000084,2025-09-30,6,10,7
E000085,2025-09-30,6,4,5
E000097,2025-09-30,2,8,8
E000038,2025-09-30,6,10,6
E000098,2025-09-30,5,3,5
