employee_id,leave_type,start_date,days,approved
E000073,Parental Leave,2025-02-17,7,True
E000059,Parental Leave,2025-01-24,10,False
E000002,Parental Leave,2025-01-09,12,True
E000065,Annual Leave,2025-05-27,2,True
E000060,Parental Leave,2025-01-18,9,True
E000051,Parental Leave,2025-08-24,13,True
E000030,Unpaid Leave,2025-07-13,4,False
E000011,Unpaid Leave,2025-01-14,9,True
E000092,Unpaid Leave,2025-10-25,8,True
E000076,Sick Leave,2025-03-23,10,True
E000039,Sick Leave,2025-03-22,14,True
E000090,Annual Leave,2025-06-11,9,True
E000077,Unpaid Leave,2025-08-13,4,True
E000072,Parental Leave,2025-02-28,3,True
E000063,Sick Leave,2025-09-18,5,False
E000064,Annual Leave,2025-07-19,7,True
E000061,Unpaid Leave,2025-05-01,2,True
E000054,Sick Leave,2025-08-07,2,True
E000092,Parental Leave,2025-09-08,1,True
E000094,Parental Leave,2025-06-08,5,True
E000073,Annual Leave,2025-08-06,6,True
E000095,Unpaid Leave,2025-02-23,10,True
E000058,Parental Leave,2025-04-26,4,True
E000085,Parental Leave,2025-10-11,10,True
E000056,Parental Leave,2025-03-14,8,True
E000034,Sick Leave,2025-09-16,7,True
E000031,Unpaid Leave,2025-05-28,12,True
E000052,Annual Leave,2025-06-21,11,True
E000089,Unpaid Leave,2025-03-14,1,True
E000076,Annual Leave,2025-10-18,8,True
E000001,Unpaid Leave,2025-05-22,4,True
E000055,Annual Leave,2025-10-29,12,True
E000022,Sick Leave,2025-06-05,14,True
E000040,Unpaid Leave,2025-04-19,4,True
E000001,Parental Leave,2025-04-08,13,True
E000065,Unpaid Leave,2025-07-19,14,True
E000063,Annual Leave,2025-11-13,10,True
E000054,Parental Leave,2025-11-27,11,True
E000042,Annual Leave,2025-07-24,4,True
E000021,Sick Leave,2025-10-09,4,True
E000079,Annual Leave,2025-11-07,2,True
E000081,Annual Leave,2025-09-05,14,True
E000022,Annual Leave,2025-05-23,2,True
E000038,Annual Leave,2025-11-08,6,True
E000099,Unpaid Leave,2025-09-10,4,True
E000080,Parental Leave,2025-07-20,9,True
E000008,Sick Leave,2025-01-31,6,True
E000062,Unpaid Leave,2025-03-18,9,True
E000047,Sick Leave,2025-03-05,4,True
E000017,Parental Leave,2025-03-09,4,True
E000017,Sick Leave,2025-01-13,5,True
E000090,Unpaid Leave,2025-09-12,13,True
E000013,Annual Leave,2025-09-12,10,True
E000017,Unpaid Leave,2025-10-23,7,False
E000038,Parental Leave,2025-07-18,14,True
E000081,Annual Leave,2025-10-22,9,True
E000078,Parental Leave,2025-10-28,3,True
E000045,Parental Leave,2025-03-25,2,True
E000006,Sick Leave,2025-04-07,2,True
E000035,Unpaid Leave,2025-10-02,1,True
E000014,Parental Leave,2025-06-26,14,False
E000072,Unpaid Leave,2025-09-03,11,True
E000061,Annual Leave,2025-04-27,7,True
E000015,Parental Leave,2025-03-01,10,True
E000054,Annual Leave,2025-11-10,1,True
E000027,Parental Leave,2025-05-20,1,True
E000013,Parental Leave,2025-11-09,10,True
E000031,Unpaid Leave,2025-11-19,8,True
E000035,Parental Leave,2025-07-03,10,False
E000060,Parental Leave,2025-06-29,11,True
E000006,Parental Leave,2025-02-21,12,True
E000069,Sick Leave,2025-05-25,1,True
E000086,Unpaid Leave,2025-06-08,2,True
E000058,Sick Leave,2025-01-05,4,True
E000049,Sick Leave,2025-03-31,13,True
E000023,Annual Leave,2025-05-23,8,True
E000089,Sick Leave,2025-06-23,9,True
E000034,Sick Leave,2025-10-01,5,True
E000026,Annual Leave,2025-06-04,6,True
E000047,Parental Leave,2025-02-11,11,True
E000005,Unpaid Leave,2025-06-16,2,True
E000090,Unpaid Leave,2025-09-28,2,True
E000020,Sick Leave,2025-04-05,12,True
E000006,Sick Leave,2025-01-04,9,True
E000070,Unpaid Leave,2025-06-23,7,True
E000059,Unpaid Leave,2025-11-20,3,True
E000064,Parental Leave,2025-11-27,6,True
E000018,Sick Leave,2025-07-27,9,True
E000004,Annual Leave,2025-11-01,12,True
E000017,Parental Leave,2025-08-14,13,True
E000014,Sick Leave,2025-08-20,10,True
E000078,Unpaid Leave,2025-10-25,2,True
E000013,Unpaid Leave,2025-07-30,10,True
E000007,Unpaid Leave,2025-06-14,6,False
E000044,Sick Leave,2025-10-07,6,True
E000015,Unpaid Leave,2025-03-10,13,True
E000019,Annual Leave,2025-06-02,1,True
E000063,Sick Leave,2025-06-30,2,True
E000035,Parental Leave,2025-10-08,13,True
E000081,Unpaid Leave,2025-11-28,5,True
E000035,Sick Leave,2025-09-08,3,True
E000019,Sick Leave,2025-02-11,14,True
E000020,Annual Leave,2025-03-30,1,True
E000100,Parental Leave,2025-11-05,13,True
E000035,Annual Leave,2025-01-26,12,True
E000032,Sick Leave,2025-09-25,12,True
E000048,Unpaid Leave,2025-09-07,11,True
E000044,Sick Leave,2025-01-10,11,True
E000024,Annual Leave,2025-02-27,1,True
E000061,Unpaid Leave,2025-01-01,1,True
E000017,Sick Leave,2025-04-11,6,True
E000071,Annual Leave,2025-06-17,8,False
E000050,Annual Leave,2025-06-25,3,True
E000065,Parental Leave,2025-09-20,6,True
E000099,Sick Leave,2025-06-18,6,True
E000032,Parental Leave,2025-01-21,12,True
E000036,Annual Leave,2025-09-26,7,True
E000013,Unpaid Leave,2025-11-10,7,True
E000070,Unpaid Leave,2025-11-24,6,True
E000058,Sick Leave,2025-04-15,6,True
E000014,Sick Leave,2025-04-14,4,True
E000037,Annual Leave,2025-01-20,10,True
E000079,Sick Leave,2025-07-04,1,True
E000068,Unpaid Leave,2025-11-07,6,True
E000040,Annual Leave,2025-02-26,3,True
E000059,Annual Leave,2025-03-17,3,True
E000080,Unpaid Leave,2025-08-02,12,True
E000092,Parental Leave,2025-09-03,9,True
E000016,Parental Leave,2025-05-03,6,True
E000062,Parental Leave,2025-04-21,13,True
