employee_id,course_name,completion_date,hours,score,mandatory
E000018,Safety Induction,2026-01-06,4,60,True
E000066,Diversity & Inclusion,2025-01-22,1,74,True
E000068,Diversity & Inclusion,2023-07-24,8,68,False
E000094,Mine Site Safety,2024-11-26,4,61,True
E000033,Safety Induction,2024-11-23,2,73,True
E000036,Data Privacy,2025-03-02,4,67,True
E000082,Mine Site Safety,2021-07-03,16,91,True
E000019,Diversity & Inclusion,2025-08-17,4,97,True
E000028,Safety Induction,2025-10-23,2,75,True
E000040,Leadership Basics,2019-07-15,2,85,True
E000084,Mine Site Safety,2026-03-21,2,98,True
E000097,Data Privacy,2026-03-16,16,98,True
E000076,Safety Induction,2024-05-17,1,100,True
E000015,Diversity & Inclusion,2025-06-05,16,78,True
E000041,Safety Induction,2021-07-12,1,81,True
E000039,Leadership Basics,2026-04-07,2,95,True
E000002,Mine Site Safety,2021-08-22,8,91,True
E000063,Leadership Basics,2020-12-12,8,83,True
E000029,Mine Site Safety,2023-05-18,16,82,False
E000074,Mine Site Safety,2025-10-10,2,77,False
E000066,Data Privacy,2024-05-10,1,71,True
E000051,Safety Induction,2023-02-13,1,88,True
E000075,Safety Induction,2022-06-07,2,67,True
E000077,Diversity & Inclusion,2024-11-09,8,88,False
E000010,Safety Induction,2023-10-19,1,78,True
E000014,Leadership Basics,2026-06-01,8,63,False
E000082,Data Privacy,2019-12-13,16,78,False
E000051,Mine Site Safety,2022-03-25,4,96,True
E000073,Leadership Basics,2024-05-12,16,92,False
E000039,Safety Induction,2025-09-07,2,82,True
E000028,Data Privacy,2025-12-11,16,96,False
E000003,Mine Site Safety,2025-12-26,4,76,False
E000084,Safety Induction,2026-05-17,1,80,True
E000070,Data Privacy,2025-12-24,8,96,True
E000027,Diversity & Inclusion,2022-01-18,8,100,True
E000002,Leadership Basics,2022-05-31,4,100,True
E000093,Safety Induction,2022-05-01,16,77,True
E000038,Mine Site Safety,2021-02-10,2,75,True
E000003,Data Privacy,2024-06-22,1,95,False
E000016,Diversity & Inclusion,2025-12-04,16,93,True
