employee_id,survey_date,engagement_score,wellbeing_score,manager_score
E000018,2025-09-30,8,10,6
E000090,2025-09-30,8,5,1
E000066,2025-09-30,1,6,6
E000026,2025-09-30,10,1,3
E000003,2025-09-30,2,7,8
E000071,2025-09-30,8,4,6
E000061,2025-09-30,1,2,1
E000049,2025-09-30,8,5,5
E000014,2025-09-30,8,3,8
E000070,2025-09-30,2,6,3
E000060,2025-09-30,4,8,6
E000068,2025-09-30,6,7,5
E000016,2025-09-30,9,3,6
E000092,2025-09-30,8,8,10
E000010,2025-09-30,8,2,1
E000041,2025-09-30,7,10,7
E000045,2025-09-30,9,9,9
E000048,2025-09-30,2,4,2
E000004,2025-09-30,3,1,10
E000020,2025-09-30,10,8,5
E000078,2025-09-30,8,7,10
E000005,2025-09-30,6,5,4
E000025,2025-09-30,10,10,6
E000034,2025-09-30,9,5,6
E000075,2025-09-30,10,7,2
E000036,2025-09-30,4,5,2
E000050,2025-09-30,8,8,4
E000080,2025-09-30,10,6,1
E000056,2025-09-30,3,5,9
E000063,2025-09-30,3,9,7
E000028,2025-09-30,8,2,7
E000007,2025-09-30,5,1,3
E000019,2025-09-30,3,8,3
E000100,2025-09-30,10,3,1
E000046,2025-09-30,1,7,3
E000024,2025-09-30,3,10,3
E000088,2025-09-30,9,8,4
E000035,2025-09-30,5,6,4
E000064,2025-09-30,10,10,3
E000037,2025-09-30,2,9,10
E000038,2025-09-30,7,7,8
E000022,2025-09-30,2,10,8
E000006,2025-09-30,4,5,1
E000023,2025-09-30,7,8,7
E000058,2025-09-30,4,2,2
E000047,2025-09-30,7,7,1
E000089,2025-09-30,7,4,3
E000029,2025-09-30,1,9,4
E000069,2025-09-30,6,1,6
E000077,2025-09-30,9,7,10
E000098,2025-09-30,2,6,5
E000031,2025-09-30,3,8,4
E000059,2025-09-30,10,5,8
E000039,2025-09-30,5,1,4
E000011,2025-09-30,9,1,10
E000051,2025-09-30,4,9,2
E000042,2025-09-30,1,10,3
E000086,2025-09-30,4,6,6
E000091,2025-09-30,6,10,8
E000072,2025-09-30,5,5,8
E000067,2025-09-30,1,1,9
E000062,2025-09-30,4,6,7
E000027,2025-09-30,6,6,2
E000065,2025-09-30,10,3,8
E000008,2025-09-30,10,8,7
E000076,2025-09-30,4,1,8
E000012,2025-09-30,9,1,3
E000084,2025-09-30,5,6,7
E000032,2025-09-30,8,10,10
E000087,2025-09-30,9,1,9
