employee_id,leave_type,start_date,days,approved
E000080,Unpaid Leave,2025-11-04,9,True
E000099,Sick Leave,2025-03-03,4,True
E000030,Parental Leave,2025-11-02,4,True
E000074,Sick Leave,2025-02-09,5,True
E000018,Unpaid Leave,2025-02-08,13,True
E000069,Annual Leave,2025-05-01,10,True
E000093,Unpaid Leave,2025-01-27,7,False
E000039,Parental Leave,2025-01-12,14,True
E000060,Annual Leave,2025-06-26,9,True
E000098,Parental Leave,2025-06-13,3,True
E000043,Parental Leave,2025-02-18,2,True
E000045,Sick Leave,2025-05-01,2,True
E000023,Unpaid Leave,2025-09-24,1,True
E000069,Parental Leave,2025-05-26,14,False
E000094,Unpaid Leave,2025-04-18,11,True
E000006,Annual Leave,2025-03-09,7,True
E000056,Parental Leave,2025-09-28,10,True
E000004,Annual Leave,2025-03-25,1,True
E000093,Parental Leave,2025-01-31,1,True
E000023,Parental Leave,2025-02-24,10,True
E000006,Unpaid Leave,2025-08-04,8,True
E000032,Parental Leave,2025-05-21,10,False
E000018,Parental Leave,2025-11-14,11,True
E000015,Parental Leave,2025-05-13,12,True
E000040,Sick Leave,2025-02-05,1,True
E000096,Unpaid Leave,2025-05-31,2,True
E000073,Sick Leave,2025-01-18,4,True
E000074,Sick Leave,2025-09-14,13,True
E000084,Annual Leave,2025-08-27,8,True
E000006,Sick Leave,2025-02-27,9,True
E000063,Sick Leave,2025-03-10,5,True
E000067,Annual Leave,2025-06-17,6,True
E000011,Parental Leave,2025-02-21,11,True
E000043,Unpaid Leave,2025-08-21,2,True
E000017,Unpaid Leave,2025-02-16,2,True
E000096,Sick Leave,2025-06-12,12,True
E000004,Sick Leave,2025-07-15,9,True
E000063,Unpaid Leave,2025-04-04,7,True
E000068,Unpaid Leave,2025-05-15,3,True
E000081,Parental Leave,2025-07-13,6,True
E000041,Sick Leave,2025-03-04,9,True
E000083,Annual Leave,2025-02-02,12,True
E000005,Parental Leave,2025-03-29,13,True
E000032,Sick Leave,2025-04-03,10,True
E000086,Unpaid Leave,2025-05-27,2,True
E000070,Unpaid Leave,2025-11-04,10,True
E000035,Unpaid Leave,2025-10-07,6,False
E000022,Sick Leave,2025-07-28,6,True
E000065,Unpaid Leave,2025-07-13,13,True
E000084,Annual Leave,2025-05-24,1,True
E000022,Sick Leave,2025-09-22,2,True
E000011,Parental Leave,2025-05-27,13,True
E000077,Unpaid Leave,2025-10-06,5,True
E000003,Sick Leave,2025-05-01,3,True
E000009,Sick Leave,2025-07-11,14,True
E000060,Annual Leave,2025-03-10,1,True
E000076,Parental Leave,2025-01-13,13,True
E000087,Annual Leave,2025-07-09,12,True
E000014,Sick Leave,2025-11-19,12,True
E000097,Unpaid Leave,2025-08-13,11,True
E000018,Sick Leave,2025-02-14,11,True
E000073,Annual Leave,2025-07-12,1,True
E000023,Unpaid Leave,2025-10-06,1,True
E000074,Sick Leave,2025-03-23,6,True
E000083,Annual Leave,2025-05-28,8,False
E000047,Annual Leave,2025-06-22,3,True
E000069,Parental Leave,2025-07-21,6,True
E000047,Sick Leave,2025-06-27,6,True
E000087,Parental Leave,2025-08-06,12,True
E000030,Annual Leave,2025-04-03,7,True
E000025,Unpaid Leave,2025-07-03,7,True
E000028,Unpaid Leave,2025-06-19,6,True
E000098,Sick Leave,2025-06-19,6,True
E000025,Sick Leave,2025-11-18,4,True
E000074,Annual Leave,2025-10-26,10,True
E000078,Sick Leave,2025-07-14,1,True
E000058,Unpaid Leave,2025-11-07,6,True
E000094,Annual Leave,2025-10-22,3,True
E000041,Annual Leave,2025-05-28,3,True
E000025,Unpaid Leave,2025-03-13,12,True
E000078,Parental Leave,2025-08-05,9,True
E000099,Parental Leave,2025-03-16,6,True
E000048,Parental Leave,2025-03-22,13,True
E000098,Annual Leave,2025-07-08,12,True
E000010,Parental Leave,2025-04-05,4,True
E000099,Parental Leave,2025-01-22,6,True
E000075,Unpaid Leave,2025-06-10,4,False
E000011,Sick Leave,2025-05-09,3,True
E000085,Unpaid Leave,2025-09-29,13,True
