employee_id,course_name,completion_date,hours,score,mandatory
E000035,Data Privacy,2022-08-11,16,78,False
E000087,Mine Site Safety,2025-10-30,4,96,True
E000006,Leadership Basics,2021-10-31,16,92,False
E000068,Safety Induction,2024-03-26,2,82,True
E000018,Data Privacy,2025-02-13,16,96,False
E000073,Mine Site Safety,2025-09-01,4,76,False
E000029,Safety Induction,2024-05-25,1,80,True
E000077,Data Privacy,2026-01-16,8,96,True
E000059,Diversity & Inclusion,2025-06-21,8,100,True
E000047,Leadership Basics,2026-01-21,4,100,True
E000017,Safety Induction,2026-03-15,16,77,True
E000096,Mine Site Safety,2026-07-02,2,75,True
E000022,Data Privacy,2024-06-03,1,95,False
E000068,Diversity & Inclusion,2024-02-13,16,93,True
E000069,Mine Site Safety,2019-09-21,2,62,True
E000037,Mine Site Safety,2024-02-16,8,80,False
E000049,Safety Induction,2025-06-28,8,80,True
E000013,Data Privacy,2026-02-18,16,69,True
E000034,Diversity & Inclusion,2025-02-08,2,72,True
E000086,Leadership Basics,2025-04-23,1,95,False
E000053,Data Privacy,2022-09-23,1,62,True
E000087,Safety Induction,2025-05-09,8,83,False
E000051,Safety Induction,2022-07-22,8,85,False
E000003,Mine Site Safety,2024-07-29,8,75,False
E000042,Mine Site Safety,2025-03-09,2,71,True
E000098,Diversity & Inclusion,2023-10-11,2,89,True
E000032,Diversity & Inclusion,2018-03-17,16,84,False
E000051,Leadership Basics,2024-09-20,8,71,True
E000085,Data Privacy,2024-04-19,16,95,True
E000046,Mine Site Safety,2021-05-18,4,68,True
E000021,Safety Induction,2026-05-05,1,67,True
E000044,Data Privacy,2026-02-22,8,99,True
E000011,Safety Induction,2024-07-28,16,93,True
E000068,Diversity & Inclusion,2025-05-26,8,82,False
E000001,Mine Site Safety,2021-08-26,2,99,False
E000092,Diversity & Inclusion,2020-11-17,8,70,False
E000063,Mine Site Safety,2024-10-03,1,76,True
E000024,Mine Site Safety,2026-06-24,2,85,False
E000099,Data Privacy,2023-09-26,16,78,True
E000013,Diversity & Inclusion,2024-08-14,8,90,False
E000098,Data Privacy,2026-04-09,1,97,True
E000011,Mine Site Safety,2025-08-11,1,90,False
E000100,Leadership Basics,2021-11-28,2,64,True
E000051,Safety Induction,2022-12-02,4,92,False
E000017,Data Privacy,2020-02-04,2,74,True
E000099,Leadership Basics,2023-08-18,16,64,True
E000082,Leadership Basics,2023-06-07,2,72,True
E000086,Data Privacy,2025-02-04,16,67,True
E000024,Data Privacy,2026-06-17,8,92,True
E000019,Data Privacy,2021-01-03,16,70,True
E000037,Mine Site Safety,2023-10-11,1,75,True
E000085,Mine Site Safety,2024-12-12,4,85,True
E000008,Mine Site Safety,2024-10-13,4,96,True
E000028,Data Privacy,2023-09-01,2,85,True
E000005,Mine Site Safety,2020-03-23,4,88,False
E000017,Leadership Basics,2024-07-15,1,75,False
E000036,Diversity & Inclusion,2022-09-11,2,67,False
E000019,Mine Site Safety,2019-07-04,1,98,False
E000064,Mine Site Safety,2026-03-28,2,81,False
E000091,Mine Site Safety,2026-04-14,1,96,True
E000098,Diversity & Inclusion,2021-08-18,8,87,True
E000011,Data Privacy,2024-07-24,16,83,False
E000054,Leadership Basics,2023-07-31,4,81,True
E000045,Safety Induction,2022-04-21,16,62,False
E000047,Diversity & Inclusion,2025-05-26,2,95,True
E000012,Data Privacy,2023-07-13,2,60,True
E000021,Diversity & Inclusion,2026-03-06,1,62,True
E000011,Diversity & Inclusion,2026-02-27,4,94,False
E000092,Data Privacy,2024-05-06,2,73,True
E000005,Diversity & Inclusion,2018-11-05,8,88,True
E000081,Data Privacy,2023-03-19,2,63,False
E000056,Safety Induction,2024-05-12,2,85,False
E000020,Mine Site Safety,2022-08-17,2,70,False
E000041,Diversity & Inclusion,2021-01-24,2,60,True
E000046,Leadership Basics,2021-07-25,16,100,False
E000012,Diversity & Inclusion,2024-08-08,4,80,True
E000070,Leadership Basics,2025-09-30,4,78,True
E000017,Leadership Basics,2024-12-03,16,80,False
E000019,Leadership Basics,2023-05-19,8,74,True
E000026,Diversity & Inclusion,2024-06-05,16,67,True
E000048,Data Privacy,2025-07-23,8,86,True
E000052,Data Privacy,2026-04-30,16,60,True
E000096,Data Privacy,2026-07-05,16,95,False
E000070,Leadership Basics,2025-10-26,8,62,True
E000055,Safety Induction,2018-09-19,16,82,False
E000100,Diversity & Inclusion,2024-02-21,1,65,True
E000075,Leadership Basics,2024-03-10,16,79,True
E000033,Data Privacy,2025-04-16,8,87,True
E000062,Data Privacy,2024-03-10,8,100,False
E000088,Leadership Basics,2023-08-20,2,89,True
E000023,Safety Induction,2026-06-02,4,73,True
E000015,Data Privacy,2024-06-12,8,98,True
E000027,Diversity & Inclusion,2026-03-21,16,67,False
E000075,Data Privacy,2024-11-27,2,69,True
E000064,Leadership Basics,2026-05-28,1,76,False
E000081,Leadership Basics,2020-11-09,1,76,True
E000051,Mine Site Safety,2022-09-10,1,80,True
E000053,Safety Induction,2024-02-12,1,84,True
E000078,Safety Induction,2022-04-01,1,83,True
E000091,Data Privacy,2022-08-12,1,82,True
E000082,Diversity & Inclusion,2024-10-13,1,76,True
E000092,Safety Induction,2024-09-08,16,68,True
E000051,Mine Site Safety,2025-02-12,8,62,True
E000047,Safety Induction,2025-12-23,8,60,True
E000004,Leadership Basics,2023-03-02,8,91,True
E000007,Mine Site Safety,2023-11-26,2,78,False
E000035,Data Privacy,2023-11-11,2,92,False
E000048,Diversity & Inclusion,2025-02-21,8,83,False
E000073,Data Privacy,2025-05-01,1,92,False
E000072,Data Privacy,2024-04-02,16,60,True
E000045,Diversity & Inclusion,2020-12-30,4,78,True
E000081,Data Privacy,2018-06-18,4,69,False
E000081,Mine Site Safety,2023-05-05,8,82,True
E000097,Data Privacy,2023-10-16,1,96,True
E000096,Data Privacy,2026-06-24,2,75,False
E000072,Data Privacy,2026-03-15,2,75,True
E000019,Safety Induction,2019-07-17,1,71,True
E000063,Data Privacy,2024-11-12,16,86,True
E000038,Safety Induction,2023-04-19,16,87,True
E000067,Data Privacy,2022-11-17,1,100,False
E000059,Diversity & Inclusion,2022-03-12,4,61,True
E000069,Mine Site Safety,2017-05-28,1,72,False
E000013,Data Privacy,2021-11-15,16,79,True
E000047,Leadership Basics,2025-12-04,2,100,False
E000061,Leadership Basics,2023-07-12,16,69,True
E000031,Leadership Basics,2025-12-05,16,87,True
E000080,Diversity & Inclusion,2025-08-20,2,85,True
E000096,Safety Induction,2026-06-25,4,71,True
E000022,Data Privacy,2025-07-08,2,93,True
E000093,Leadership Basics,2024-10-28,8,83,False
E000086,Leadership Basics,2026-02-05,4,98,True
E000043,Mine Site Safety,2022-06-05,4,100,True
E000067,Mine Site Safety,2019-11-21,4,79,True
E000054,Leadership Basics,2025-08-02,16,93,False
E000010,Data Privacy,2022-02-12,2,68,False
E000042,Safety Induction,2022-05-26,4,95,True
E000064,Leadership Basics,2026-04-12,16,63,False
E000021,Leadership Basics,2026-04-14,1,69,True
E000080,Data Privacy,2025-09-27,4,80,True
E000076,Mine Site Safety,2024-10-07,2,89,False
E000066,Mine Site Safety,2024-12-02,1,63,False
E000041,Safety Induction,2023-03-18,8,78,False
E000024,Mine Site Safety,2026-07-03,1,91,False
E000035,Safety Induction,2023-04-26,2,86,True
E000056,Data Privacy,2023-06-26,8,80,False
E000030,Mine Site Safety,2018-10-01,8,88,True
E000057,Data Privacy,2026-04-17,2,78,True
E000094,Safety Induction,2024-09-27,4,100,True
E000047,Mine Site Safety,2025-12-03,16,99,False
E000035,Diversity & Inclusion,2025-01-03,8,92,True
E000019,Diversity & Inclusion,2024-02-25,4,93,True
E000008,Diversity & Inclusion,2024-05-06,2,62,True
E000026,Safety Induction,2025-12-30,4,75,True
E000071,Leadership Basics,2025-07-02,2,97,True
E000030,Mine Site Safety,2024-01-20,4,72,False
E000007,Data Privacy,2024-03-24,2,97,False
E000067,Data Privacy,2021-01-15,4,76,False
E000065,Data Privacy,2023-11-22,1,98,True
E000036,Mine Site Safety,2025-09-17,1,96,False
E000025,Data Privacy,2025-04-25,16,61,True
E000037,Data Privacy,2020-07-31,4,97,True
E000001,Mine Site Safety,2024-11-22,2,96,False
E000015,Leadership Basics,2022-12-09,2,81,False
E000037,Leadership Basics,2021-05-07,1,72,True
E000013,Diversity & Inclusion,2020-05-06,4,83,False
E000008,Safety Induction,2025-03-30,4,73,True
E000005,Safety Induction,2019-10-26,1,97,True
E000060,Diversity & Inclusion,2026-05-13,16,69,False
E000073,Leadership Basics,2024-03-27,4,79,True
E000001,Mine Site Safety,2025-10-03,16,60,True
E000036,Mine Site Safety,2025-05-07,4,82,True
E000035,Diversity & Inclusion,2025-06-27,2,83,False
E000066,Diversity & Inclusion,2025-03-19,8,98,True
E000063,Safety Induction,2024-02-15,16,68,True
E000023,Diversity & Inclusion,2026-06-13,4,98,True
E000009,Diversity & Inclusion,2021-08-07,2,82,False
E000034,Data Privacy,2024-01-06,1,81,True
E000046,Diversity & Inclusion,2021-10-02,16,91,False
E000078,Diversity & Inclusion,2025-03-18,1,99,False
E000004,Diversity & Inclusion,2019-12-12,8,77,True
E000030,Safety Induction,2021-09-13,1,91,False
E000095,Leadership Basics,2024-10-21,2,95,True
E000075,Leadership Basics,2025-01-24,8,70,True
E000099,Data Privacy,2022-04-01,8,83,True
E000072,Diversity & Inclusion,2020-10-06,1,92,True
E000003,Data Privacy,2026-04-22,4,69,True
E000014,Leadership Basics,2024-09-25,1,88,True
E000060,Data Privacy,2023-02-17,16,60,True
E000077,Diversity & Inclusion,2026-02-16,1,88,True
E000045,Leadership Basics,2021-07-04,1,66,True
E000096,Leadership Basics,2026-06-29,1,62,True
E000034,Safety Induction,2025-11-09,16,60,True
E000045,Safety Induction,2022-12-27,4,84,False
E000061,Data Privacy,2023-01-30,16,91,False
E000083,Safety Induction,2022-04-06,8,68,True
E000016,Safety Induction,2026-03-17,16,81,False
E000066,Data Privacy,2023-09-18,8,100,True
E000040,Diversity & Inclusion,2024-07-19,4,78,False
E000017,Diversity & Inclusion,2020-06-04,4,70,True
E000034,Safety Induction,2023-12-27,2,61,True
E000016,Mine Site Safety,2024-10-24,1,99,False
E000060,Mine Site Safety,2023-05-07,8,77,True
E000066,Diversity & Inclusion,2024-02-09,8,88,True
E000066,Diversity & Inclusion,2022-11-20,4,78,True
E000090,Data Privacy,2023-10-13,8,70,False
E000013,Data Privacy,2020-09-02,4,89,True
E000056,Safety Induction,2025-01-28,1,87,True
E000031,Leadership Basics,2024-06-06,16,74,True
E000034,Mine Site Safety,2026-02-22,1,96,True
E000039,Leadership Basics,2024-02-21,8,76,True
E000067,Data Privacy,2022-08-04,8,88,True
E000008,Mine Site Safety,2025-10-25,1,87,True
E000087,Leadership Basics,2026-02-12,1,75,False
E000078,Data Privacy,2024-05-06,16,85,False
E000055,Diversity & Inclusion,2018-10-22,16,81,False
E000027,Mine Site Safety,2025-08-06,2,72,False
E000093,Data Privacy,2025-06-18,1,99,True
E000053,Leadership Basics,2021-10-31,8,69,True
E000039,Safety Induction,2026-02-13,2,61,True
E000065,Data Privacy,2022-03-07,2,82,False
E000017,Safety Induction,2019-09-27,1,62,False
E000030,Diversity & Inclusion,2023-09-23,1,89,True
E000053,Mine Site Safety,2026-07-02,16,72,False
E000013,Leadership Basics,2019-01-12,16,74,False
E000021,Mine Site Safety,2026-06-08,2,96,False
E000019,Safety Induction,2019-12-10,8,67,True
E000053,Diversity & Inclusion,2022-09-29,16,91,True
E000019,Diversity & Inclusion,2025-12-27,8,65,True
E000057,Data Privacy,2019-12-17,16,66,False
